id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	associatedOccurrences	associatedReferences	otherCatalogNumbers	occurrenceRemarks	organismID	materialSampleID	eventID	fieldNumber	eventDate	eventTime	year	month	verbatimEventDate	samplingProtocol	sampleSizeValue	sampleSizeUnit	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
389	2019-01-02T15:18:54			SharkBase	SharkBase	HumanObservation	389					1	individuals			present										2013-12-24 00:12:00															-27.5299	32.688	100	0.0009	POINT (32.68800 -27.52990)							urn:lsid:marinespecies.org:taxname:398283		Rhynchobatus palpebratus	Animalia	Chordata		Rhynchobatidae	Rhynchobatus				species		
392	08/AUG/22			SharkBase	SharkBase	HumanObservation	392					1	individuals			present										2015-05-23 23:05:00															19.3837	-81.3356	100	0.0009	POINT (-81.33563 19.38372)							urn:lsid:marinespecies.org:taxname:105792		Carcharhinus leucas	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
39	2019-01-02T15:18:54			SharkBase	SharkBase	HumanObservation	39					1	individuals			present																			Australia	Western Australia					-23.1	113.8	100	0.0009	POINT (113.80000 -23.10000)							urn:lsid:marinespecies.org:taxname:105843		Carcharias taurus	Animalia	Chordata		Odontaspididae	Carcharias				Species		
390	2019-01-02T15:18:54			SharkBase	SharkBase	HumanObservation	390					1	individuals			present										2014-01-14 00:01:00															-27.531	32.6875	100	0.0009	POINT (32.68750 -27.53105)							urn:lsid:marinespecies.org:taxname:398283		Rhynchobatus palpebratus	Animalia	Chordata		Rhynchobatidae	Rhynchobatus				species		
391	2019-01-02T15:18:54			SharkBase	SharkBase	HumanObservation	391					1	individuals			present										2015-05-23 23:05:00															19.3883	-81.3192	100	0.0009	POINT (-81.31915 19.38825)							urn:lsid:marinespecies.org:taxname:105719		Carcharhinus	Animalia	Chordata		Carcharhinidae	Carcharhinus				genus		
393	08/AUG/22			SharkBase	SharkBase	HumanObservation	393					1	individuals			present										2015-03-31 00:03:00															28.1565	-82.7924	100	0.0009	POINT (-82.79243 28.15647)							urn:lsid:marinespecies.org:taxname:105792		Carcharhinus leucas	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
394	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	394					1	individuals			present										2014-07-25 23:07:00															21.3525	-158.132	100	0.0009	POINT (-158.13157 21.35251)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
395	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	395					1	individuals			present										2014-07-25 23:07:00															21.3522	-158.132	100	0.0009	POINT (-158.13163 21.35222)							urn:lsid:marinespecies.org:taxname:278243		Aetobatus ocellatus	Animalia	Chordata		Myliobatidae	Aetobatus						
396	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	396					1	individuals			present										2015-01-19 00:01:00															21.2684	-157.69299	100	0.0009	POINT (-157.69322 21.26840)							urn:lsid:marinespecies.org:taxname:278243		Aetobatus ocellatus	Animalia	Chordata		Myliobatidae	Aetobatus						
397	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	397					1	individuals			present										2015-05-26 23:05:00															19.6931	-156.045	100	0.0009	POINT (-156.04531 19.69309)							urn:lsid:marinespecies.org:taxname:214557		Triaenodon obesus	Animalia	Chordata		Carcharhinidae	Triaenodon				Species		
398	08/AUG/22			SharkBase	SharkBase	HumanObservation	398					1	individuals			present										2004-08-06 23:08:00															27.9658	-82.8431	100	0.0009	POINT (-82.84306 27.96577)							urn:lsid:marinespecies.org:taxname:105792		Carcharhinus leucas	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
399	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	399					1	individuals			present										2015-05-24 23:05:00															21.6049	-158.121	100	0.0009	POINT (-158.12144 21.60489)							urn:lsid:marinespecies.org:taxname:105790		Carcharhinus galapagensis	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species		
4	2019-01-02T15:18:55			SharkBase	SharkBase	HumanObservation	4					1	individuals			present										2012-06-01 23:06:00									Australia	Western Australia					-23.1364	113.769	100	0.0009	POINT (113.76885 -23.13637)							urn:lsid:marinespecies.org:taxname:217337		Carcharhinus amblyrhynchos	Animalia	Chordata		Carcharhinidae	Carcharhinus				Species	(Bleeker, 1856)	Grey Reef Shark
